15	19	72	30	37	58	26
10	22	62	30	27	55	39
13	14	54	40	39	59	47
11	18	78	39	31	59	34
11	16	77	46	35	59	35
12	14	61	28	40	75	42
16	23	74	27	44	67	45
13	16	71	34	34	51	37
14	18	48	44	36	54	41
16	20	71	41	30	60	40
10	17	63	58	40	57	27
12	10	59	38	34	58	37
14	7	61	36	34	64	31
12	19	76	46	34	52	32
11	16	64	30	28	55	36
13	17	54	34	26	71	44
14	12	77	33	21	54	24
15	16	78	34	50	58	42
16	22	71	40	19	46	41
13	11	77	43	28	43	39
8	9	64	45	30	57	34
14	14	74	32	41	69	42
10	10	60	37	31	67	32
13	12	69	36	37	56	39
12	16	69	37	28	63	35
13	9	61	39	36	58	34
13	16	59	44	26	59	33
10	20	75	31	31	52	34
10	13	64	38	37	72	31
8	11	64	36	38	55	35
17	13	65	30	36	57	39
12	14	72	44	26	56	33
8	12	73	41	40	50	39
21	16	48	42	34	56	29
18	12	81	41	29	51	44
10	17	62	26	33	60	30
15	16	59	45	37	71	27
9	24	58	36	34	49	33
11	17	66	36	34	67	41
12	13	60	46	27	55	44
12	15	71	38	28	78	36
13	12	63	43	25	55	32
16	11	64	35	23	65	34
17	12	61	43	36	72	32
10	23	66	35	25	57	52
6	19	71	29	43	50	30
11	12	44	33	31	48	31
17	14	66	33	31	66	34
15	24	67	25	28	49	32
2	14	75	36	31	70	40
9	19	57	37	25	66	34
14	19	54	44	28	59	46
12	20	59	25	35	60	33
7	13	60	37	32	56	30
9	13	66	43	27	59	35
12	17	58	47	35	57	32
11	20	52	37	28	54	40
7	11	55	30	36	51	31
13	14	59	30	35	53	45
11	15	53	38	26	63	25
14	19	55	36	30	44	29
11	9	63	38	37	63	36
14	14	69	36	35	65	35
12	22	62	28	37	64	36
12	19	50	39	33	53	45
10	13	57	40	30	60	34
10	9	62	28	32	46	38
15	9	46	35	34	63	34
14	17	47	40	34	60	25
16	22	57	34	31	77	43
11	12	52	46	34	55	38
10	15	57	31	32	72	44
10	7	44	37	37	60	45
13	24	54	40	30	61	39
15	18	53	28	31	64	31
17	17	54	32	23	60	31
13	12	54	36	33	63	37
19	12	50	26	32	65	43
10	12	53	32	27	77	20
10	16	65	46	29	53	40
9	15	70	31	33	63	34
13	15	52	43	30	63	29
16	13	58	46	26	60	31
17	12	54	39	32	56	30
9	17	69	40	36	56	34
13	7	46	33	37	55	35
5	14	62	35	29	45	35
17	15	49	38	20	60	42
17	16	65	34	26	59	28
13	6	59	33	25	57	42
18	15	38	36	38	52	37
15	12	48	27	32	62	46
21	11	55	32	28	47	42
12	15	54	38	28	45	37
5	15	54	26	36	58	43
10	16	51	41	28	61	34
20	18	44	38	26	54	30
7	10	46	35	29	55	34
8	15	51	33	31	57	42
13	9	50	40	41	55	42
12	16	44	42	35	51	41
12	14	51	21	26	43	37
15	14	50	31	31	55	27
8	12	48	35	30	60	35
4	13	51	37	28	58	32
14	14	49	26	29	64	28
15	22	48	35	29	64	27
12	15	41	40	32	47	38
10	16	51	35	33	46	25
10	17	49	37	27	51	49
13	13	42	30	33	39	43
15	17	50	41	31	54	34
14	15	44	25	26	52	23
11	6	47	30	31	44	30
8	11	50	28	31	56	36
16	11	48	29	25	68	35
18	13	47	38	38	58	42
17	21	61	35	35	43	41
16	16	33	38	24	51	33
7	14	62	27	27	64	26
18	16	52	36	35	39	40
11	18	65	44	28	43	28
14	15	61	31	30	45	35
13	14	45	33	42	49	29
16	23	60	41	32	46	35
14	18	59	38	28	56	32
16	12	47	27	33	49	42
7	14	40	35	33	56	27
14	13	40	26	34	51	38
16	20	38	30	36	51	36
15	19	46	46	38	47	39
17	17	49	32	28	60	28
16	15	44	37	26	44	31
13	16	53	41	31	45	41
9	9	54	31	24	49	38
15	13	48	34	26	46	33
10	14	54	24	31	47	40
12	14	55	39	33	46	36
14	18	41	30	35	49	44
11	16	46	37	38	51	41
15	15	57	24	31	55	42
17	19	55	37	36	55	27
13	13	57	29	27	46	37
14	14	52	29	31	60	30
11	14	55	29	25	38	40
8	8	47	34	21	45	38
8	15	46	41	32	53	27
10	18	59	37	37	51	23
11	13	27	33	28	63	33
12	15	38	36	24	70	31
15	20	59	33	31	36	38
10	16	50	37	29	52	27
12	7	64	39	27	50	28
14	24	63	38	30	53	35
9	15	53	26	30	47	35
12	19	61	32	18	53	26
14	9	49	40	36	56	35
18	19	47	28	29	43	29
10	12	46	41	35	58	43
12	15	55	37	40	41	37
16	14	56	28	32	51	37
9	15	46	34	25	49	38
9	11	48	42	34	46	16
16	14	58	30	35	53	28
16	10	46	28	36	47	28
10	16	56	45	30	56	44
13	13	46	31	30	46	37
14	13	54	29	37	53	37
7	12	47	40	28	56	31
12	17	47	30	31	49	42
13	17	62	31	33	53	32
8	11	59	36	26	42	35
13	12	43	33	25	42	32
12	10	41	35	32	53	26
13	17	37	37	16	54	30
17	11	37	43	30	44	33
11	18	54	37	33	50	30
12	17	48	32	29	51	30
11	12	50	40	18	52	34
11	14	51	27	38	60	29
17	12	36	35	25	51	28
8	19	50	28	23	55	28
21	12	41	44	42	40	38
3	11	47	39	30	44	24
19	14	50	36	32	72	29
12	19	58	34	37	50	34
12	23	45	30	24	47	37
13	22	56	34	21	45	35
17	8	59	30	23	67	42
12	14	39	38	27	51	27
12	10	52	41	21	53	35
8	14	46	32	29	33	36
9	19	51	33	32	58	40
15	13	58	41	29	50	36
15	15	39	32	26	51	34
10	16	31	29	39	45	27
17	8	49	41	41	47	32
9	19	52	33	24	59	34
13	13	41	32	27	53	37
10	11	37	42	26	49	51
9	22	36	32	30	51	36
8	12	42	38	33	62	39
16	18	44	35	28	53	35
18	14	42	31	25	45	35
13	17	44	27	30	44	27
5	8	46	26	36	62	33
13	15	39	32	31	50	30
14	9	48	35	33	47	33
13	15	38	34	30	61	44
12	15	54	27	39	51	29
14	12	45	31	29	44	34
17	15	52	31	34	52	43
13	14	50	31	24	58	40
17	13	51	42	36	44	26
14	15	48	39	31	49	35
13	16	49	32	30	53	25
11	12	41	39	20	59	26
16	22	38	26	32	50	27
6	13	36	41	38	53	36
12	12	26	31	44	49	29
12	22	50	23	31	48	30
8	13	43	40	27	37	30
15	21	34	23	23	45	31
8	11	48	29	25	44	33
12	9	55	27	33	60	34
15	11	48	35	35	44	42
7	13	36	25	33	55	32
10	17	49	31	25	42	29
18	15	48	35	25	54	38
9	11	43	42	40	52	31
14	15	47	34	29	48	38
21	13	41	32	35	48	35
13	13	43	40	38	51	37
17	12	41	40	27	51	34
9	14	51	32	29	51	28
15	9	45	24	34	32	35
13	8	44	33	27	53	26
8	11	50	33	23	55	35
14	17	51	35	17	57	27
11	14	29	37	38	48	37
9	18	47	35	30	57	31
8	5	35	29	35	54	24
14	14	47	33	25	49	35
11	16	45	35	37	59	31
17	14	42	28	35	53	34
13	14	52	26	27	57	29
10	16	40	25	24	52	28
10	16	36	43	25	38	33
12	26	44	30	26	60	30
22	11	33	41	28	42	35
17	13	38	24	36	39	30
18	14	44	41	36	49	33
11	19	55	34	32	35	23
13	10	41	29	31	49	26
12	13	29	33	37	46	30
8	17	47	33	31	40	25
10	15	30	30	33	51	24
14	14	43	40	30	55	29
14	19	47	41	38	51	32
13	9	41	36	28	56	35
8	11	44	34	38	55	36
16	14	34	37	25	53	35
12	18	37	32	31	43	39
18	13	40	30	31	53	37
11	14	44	37	28	52	39
11	15	41	30	33	52	29
16	14	37	31	20	50	35
7	14	50	27	37	55	36
20	20	43	38	33	52	38
9	11	40	21	30	47	31
9	18	40	34	37	54	27
6	17	37	35	32	53	39
18	13	35	27	25	56	41
16	16	44	34	22	44	27
14	19	42	38	29	49	39
15	16	37	28	26	49	40
14	16	38	34	19	53	29
13	17	39	33	31	57	28
10	8	40	22	31	62	32
13	16	45	36	34	46	30
18	15	44	31	28	49	35
8	23	53	32	33	46	25
18	15	28	41	24	53	34
11	7	34	39	27	47	32
14	14	45	21	43	56	35
9	19	39	27	31	44	24
11	22	41	32	20	47	26
23	15	38	45	24	58	27
12	11	41	47	31	56	34
9	8	39	26	30	45	35
21	16	46	31	18	40	34
12	11	32	27	31	60	36
12	13	44	30	32	49	27
19	11	31	44	27	49	28
11	13	40	29	36	49	23
14	14	37	38	29	47	34
12	15	40	25	29	59	33
13	11	35	34	27	51	23
15	17	34	36	19	53	31
14	12	48	32	35	55	29
10	10	39	36	34	61	30
13	14	38	36	43	54	33
9	20	53	27	23	36	42
15	11	45	31	40	50	34
12	16	34	30	23	39	27
10	19	45	30	36	48	26
20	15	40	35	27	49	30
17	13	27	28	23	55	36
10	10	40	29	18	60	39
19	14	40	29	38	45	28
19	13	28	30	28	61	22
10	16	40	28	33	56	26
15	10	37	29	31	53	28
10	19	32	38	28	47	35
10	17	33	21	21	50	37
13	9	48	37	27	38	30
9	16	35	30	26	48	14
12	21	36	34	32	39	35
12	9	33	24	20	60	44
8	17	37	30	34	41	37
19	7	32	35	38	53	38
15	16	34	40	21	50	31
7	10	39	33	20	40	24
9	11	35	34	35	42	40
12	18	47	34	35	56	29
17	19	43	26	29	56	35
13	14	45	35	34	48	21
10	20	35	19	26	50	26
13	9	34	25	35	47	28
5	14	47	35	37	53	23
17	17	45	29	24	48	40
6	15	38	19	24	35	33
10	12	43	30	34	54	27
18	18	30	31	25	53	25
12	23	33	32	27	53	38
11	18	32	33	38	50	32
15	25	25	25	30	53	29
15	18	40	23	22	48	28
10	12	50	35	34	49	40
16	8	30	37	33	43	27
14	17	41	30	26	48	35
16	16	41	42	25	49	33
12	21	56	36	33	54	43
12	18	38	43	25	58	32
11	4	47	30	32	56	37
7	14	40	45	29	59	30
17	11	38	21	31	52	37
14	12	26	24	21	47	29
14	8	41	40	27	54	29
7	10	33	27	50	40	38
8	14	34	32	38	50	29
13	20	38	25	31	53	26
11	10	41	39	42	61	38
20	11	44	33	26	39	39
11	7	34	21	31	48	26
10	9	43	32	36	53	29
16	11	41	24	32	43	28
18	10	51	36	27	38	37
13	12	22	31	34	42	30
12	15	38	31	26	52	32
16	21	40	29	23	61	29
11	13	40	42	38	49	23
7	16	33	40	31	53	29
7	11	36	34	35	55	33
10	13	45	27	22	61	43
7	7	42	35	32	50	37
20	14	29	19	33	59	33
5	15	47	27	23	48	25
13	14	36	25	23	48	26
11	13	42	34	37	60	33
13	12	34	39	34	38	31
16	10	38	29	30	42	37
12	12	29	31	27	51	31
9	12	35	41	35	41	32
8	11	42	35	26	52	45
19	12	44	32	28	45	34
19	11	31	37	27	42	26
12	22	45	33	27	53	28
12	18	31	40	30	53	31
18	15	35	26	34	54	27
11	11	38	30	27	62	24
10	15	47	24	28	40	28
10	12	31	34	24	54	22
6	15	38	26	23	47	32
10	18	36	34	20	68	32
12	19	40	33	21	49	37
9	16	31	32	23	63	40
12	9	33	33	28	46	26
11	13	37	42	34	58	31
9	12	50	37	27	43	31
10	14	40	34	27	53	30
21	4	45	32	30	39	24
15	15	59	45	28	44	30
5	9	40	28	26	53	41
